First Last  	Team  	Games  	  	Rec  	RecYds  	RecYPG  	RecAvg  	RecLng  	YAC  	Rec1stD  	RecTD  	 	KR  	KRYds  	KRAvg  	KRLong  	KRTD  	 	PR  	PRYds  	PRAvg  	PRLong  	PRTD  	 	Fum  	FumL
 Deion Branch 	SEA 	5 	  	22  	343  	68.6  	15.6  	65  	6.6  	14  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Chris Chambers 	MIA 	5 	  	25  	342  	68.4  	13.7  	28  	3.0  	18  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Antwaan Randle El 	WAS 	4 	  	18  	338  	84.5  	18.8  	54  	4.6  	13  	0  	 	0  	0  	0.0  	0  	0  	 	12  	78  	6.5  	27  	0  	 	1  	0  	 
 Patrick Crayton 	DAL 	5 	  	19  	335  	67.0  	17.6  	59  	8.8  	16  	3  	 	1  	13  	13.0  	13  	0  	 	9  	120  	13.3  	49  	0  	 	0  	0  	 
 Bernard Berrian 	CHI 	5 	  	25  	330  	66.0  	13.2  	26  	3.2  	21  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	1  	 
 Kevin Curtis 	PHI 	4 	  	19  	323  	80.8  	17.0  	68  	4.9  	12  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Vincent Jackson 	SDGG 	5 	  	19  	315  	63.0  	16.6  	45  	2.7  	14  	2  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Jerricho Cotchery 	NYJ 	4 	  	22  	307  	76.8  	14.0  	50  	6.6  	15  	0  	 	1  	14  	14.0  	14  	0  	 	0  	0  	0.0  	0  	0  	 	0  	0  	 
 Joey Galloway 	TAM 	5 	  	18  	306  	61.2  	17.0  	69  	7.1  	9  	2  	 	0  	0  	0.0  	0  	0  	 	1  	2  	2.0  	2  	0  	 	0  	0  	 
 Ike Hilliard 	TAM 	5 	  	23  	304  	60.8  	13.2  	56  	5.6  	14  	0  	 	1  	3  	3.0  	3  	0  	 	4  	38  	9.5  	20  	0  	 	1  	1  	 
 James Jones 	GNB 	5 	  	23  	293  	58.6  	12.7  	46  	4.2  	11  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	2  	2  	 
 Shaun McDonald 	DET 	5 	  	25  	287  	57.4  	11.5  	32  	3.9  	17  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Anquan Boldin 	ARI 	3 	  	22  	286  	95.3  	13.0  	37  	6.8  	13  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Santonio Holmes 	PIT 	4 	  	14  	285  	71.3  	20.4  	43  	3.2  	14  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	0  	 
 Bobby Engram 	SEA 	5 	  	19  	275  	55.0  	14.5  	49  	3.1  	12  	2  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Andre Davis 	HOU 	3 	  	13  	266  	88.7  	20.5  	49  	2.5  	8  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Wes Welker 	NWE 	5 	  	27  	262  	52.4  	9.7  	34  	5.3  	13  	1  	 	2  	51  	25.5  	33  	0  	 	11  	126  	11.5  	29  	0  	 	0  	0  	 
 Andre Johnson 	HOU 	2 	  	14  	262  	131.0  	18.7  	77  	6.9  	9  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	1  	 
 Mike Furrey 	DET 	5 	  	21  	260  	52.0  	12.4  	49  	3.8  	11  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Dennis Northcutt 	JAC 	4 	  	15  	242  	60.5  	16.1  	40  	2.4  	11  	1  	 	0  	0  	0.0  	0  	0  	 	6  	41  	6.8  	10  	0  	 	0  	0  	 
 Laveranues Coles 	NYJ 	4 	  	24  	235  	58.8  	9.8  	28  	1.4  	14  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
